"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"180","other","Father",2.67488021902806,"and",2,59,0.0338983050847458,33.8983050847458
"181","other","Father",2.69404517453799,"and",7,83,0.0843373493975904,84.3373493975904
"182","other","Father",2.69678302532512,"and",17,318,0.0534591194968553,53.4591194968554
"183","other","Father",2.69678302532512,"or",1,318,0.00314465408805031,3.14465408805031
"184","other","Father",2.72142368240931,"and",2,18,0.111111111111111,111.111111111111
"185","other","Father",2.72689938398357,"and",6,125,0.048,48
"186","other","Father",2.72689938398357,"or",1,125,0.008,8
"187","other","Father",2.74332648870637,"and",2,33,0.0606060606060606,60.6060606060606
"188","other","Father",2.75000136892539,"and",24,1518,0.0158102766798419,15.8102766798419
"189","other","Father",2.75000136892539,"or",4,1518,0.00263504611330698,2.63504611330698
"190","other","Father",2.75273921971253,"and",1,2,0.5,500
"191","other","Father",2.75547707049966,"and",1,29,0.0344827586206897,34.4827586206897
"192","other","Father",2.76095277207392,"and",1,47,0.0212765957446809,21.2765957446809
"193","other","Father",2.76369062286105,"and",3,118,0.0254237288135593,25.4237288135593
"194","other","Father",2.76369062286105,"or",1,118,0.00847457627118644,8.47457627118644
"195","other","Father",2.77464202600958,"and",1,41,0.024390243902439,24.390243902439
"196","other","Father",2.77737987679671,"and",3,130,0.0230769230769231,23.0769230769231
"197","other","Father",2.78833127994524,"and",4,99,0.0404040404040404,40.4040404040404
"198","other","Father",2.79106913073238,"and",2,11,0.181818181818182,181.818181818182
"199","other","Father",2.79106913073238,"or",1,11,0.0909090909090909,90.9090909090909
"200","other","Father",2.79654483230664,"and",1,29,0.0344827586206897,34.4827586206897
"201","other","Father",2.80475838466804,"and",3,82,0.0365853658536585,36.5853658536585
"202","other","Father",2.81297193702943,"and",1,34,0.0294117647058824,29.4117647058824
"203","other","Father",2.82666119096509,"and",4,26,0.153846153846154,153.846153846154
"204","other","Father",2.83333333333333,"and",24,1934,0.0124095139607032,12.4095139607032
"205","other","Father",2.83333333333333,"or",6,1934,0.0031023784901758,3.1023784901758
"206","other","Father",2.8388090349076,"and",11,219,0.0502283105022831,50.2283105022831
"207","other","Father",2.8388090349076,"or",1,219,0.0045662100456621,4.5662100456621
"208","other","Father",2.87166324435318,"and",1,31,0.032258064516129,32.258064516129
"209","other","Father",2.88261464750171,"and",2,18,0.111111111111111,111.111111111111
"210","other","Father",2.89082819986311,"and",1,21,0.0476190476190476,47.6190476190476
